Event Attendees,,,
Event,Visualization,,
Date & Time,"1:30pm - 3:30pm, Tuesday, February 10, 2010",,
Presenter,Jorge,,
Location,Library,,
Campus,West,,
Seats,30,,
,,,
Booking,affiliated,Status,Discipline
"11:09am Friday, December 6, 2019",Yes,Faculty,Nicholas School of the Environment
"1:42pm Monday, January 6, 2020",Yes,Staff,Nicholas School of the Environment
"4:56pm Monday, January 6, 2020",Yes,Post Doc,Neuroscience
"10:31am Wednesday, January 8, 2020",Yes,Staff,Fuqua School of Business
"2:54pm Thursday, January 9, 2020",Yes,Graduate Student,Political Science
"1:02pm Friday, January 10, 2020",Yes,Post Doc,Biology
"9:17am Wednesday, January 15, 2020",Yes,Staff,Duke University Health System (DUHS)
"1:12pm Wednesday, January 15, 2020",Yes,Faculty,School of Medicine
"10:27am Thursday, January 16, 2020",Yes,Graduate Student,Engineering (Pratt School of Engineering)
"10:52am Thursday, January 16, 2020",Yes,Graduate Student,Sanford School of Public Policy
"10:54am Thursday, January 16, 2020",Yes,Staff,Biology
"8:46pm Monday, February 3, 2020",Yes,Graduate Student,Nicholas School of the Environment
"11:41am Wednesday, February 5, 2020",Yes,Staff,Psychology and Neuroscience
"12:00pm Wednesday, February 5, 2020",Yes,Graduate Student,Economics
"12:44pm Wednesday, February 5, 2020",Yes,Graduate Student,Nicholas School of the Environment
"4:36pm Wednesday, February 5, 2020",Yes,Staff,Nicholas School of the Environment
"8:05am Wednesday, February 12, 2020",Yes,Graduate Student,Nicholas School of the Environment
"12:03pm Friday, February 14, 2020",Yes,Graduate Student,Nicholas School of the Environment
"3:58pm Monday, February 17, 2020",Yes,Staff,Nicholas School of the Environment
