Event Attendees,,,
Event,Visualization,,
Date,"Tuesday, September 28, 2013",,
Presenter,Simpson,,
Location, Training Room,,
Campus,West,,
Seats,30,,
,,,
Booking,affiliated,Status,Discipline
"1:41pm Thursday, August 2, 2018",Yes,Staff,Nicholas School of the Environment
"11:34am Tuesday, August 14, 2018",No,Other,Nicholas School of the Environment
"11:47am Tuesday, August 14, 2018",Yes,Graduate Student,Neuroscience
"12:09pm Tuesday, August 14, 2018",No,Graduate Student,Fuqua School of Business
"12:51pm Tuesday, August 14, 2018",Yes,Graduate Student,Political Science
"1:04pm Tuesday, August 14, 2018",No,Graduate Student,Biology
"1:17pm Tuesday, August 14, 2018",Yes,Faculty,Duke University Health System (DUHS)
"1:47pm Tuesday, August 14, 2018",Yes,Graduate Student,School of Medicine
"3:34pm Tuesday, August 14, 2018",Yes,Graduate Student,Engineering (Pratt School of Engineering)
"1:23pm Wednesday, August 15, 2018",Yes,Graduate Student,Sanford School of Public Policy
"1:51pm Wednesday, August 15, 2018",Yes,Graduate Student,Biology
"3:11pm Thursday, August 16, 2018",No,Staff,Nicholas School of the Environment
"11:25am Wednesday, August 22, 2018",Yes,Staff,Psychology and Neuroscience
"2:38pm Thursday, August 23, 2018",Yes,Graduate Student,Economics
"8:37pm Thursday, August 23, 2018",Yes,Graduate Student,Nicholas School of the Environment
"8:37am Friday, August 24, 2018",Yes,Graduate Student,Nicholas School of the Environment
"8:39am Friday, August 24, 2018",Yes,Graduate Student,Nicholas School of the Environment
"8:39am Friday, August 24, 2018",Yes,Graduate Student,Nicholas School of the Environment
"3:20pm Friday, August 24, 2018",Yes,Graduate Student,Nicholas School of the Environment
"4:23pm Friday, August 24, 2018",Yes,Graduate Student,Biology
"2:54pm Saturday, August 25, 2018",Yes,Graduate Student,Nicholas School of the Environment
"9:14am Monday, August 27, 2018",Yes,Graduate Student,Political Science
"9:45am Monday, August 27, 2018",Yes,Graduate Student,Mathematics
"9:47am Monday, August 27, 2018",Yes,Faculty,School of Medicine
"10:26am Monday, August 27, 2018",Yes,Staff,Statistical Science
"10:37am Monday, August 27, 2018",Yes,Graduate Student,Engineering (Pratt School of Engineering)
"11:36am Monday, August 27, 2018",Yes,Graduate Student,Engineering (Pratt School of Engineering)
"11:45am Monday, August 27, 2018",Yes,Graduate Student,Biology
"2:07pm Monday, August 27, 2018",Yes,Graduate Student,Engineering (Pratt School of Engineering)
"2:39pm Monday, August 27, 2018",Yes,Graduate Student,Sanford School of Public Policy
